2 0.327195 0.327195
2.01 0.326149 0.326148
2.02 0.325109 0.325108
2.03 0.324076 0.324074
2.04 0.323049 0.323047
2.05 0.322029 0.322026
2.06 0.321015 0.321012
2.07 0.320007 0.320003
2.08 0.319006 0.319001
2.09 0.31801 0.318005
2.1 0.317021 0.317015
2.11 0.316037 0.316031
2.12 0.31506 0.315053
2.13 0.314088 0.314081
2.14 0.313123 0.313115
2.15 0.312163 0.312155
2.16 0.311209 0.3112
2.17 0.31026 0.310251
2.18 0.309317 0.309308
2.19 0.30838 0.308371
2.2 0.307448 0.307439
2.21 0.306522 0.306512
2.22 0.305602 0.305591
2.23 0.304686 0.304675
2.24 0.303776 0.303765
2.25 0.302872 0.30286
2.26 0.301972 0.30196
2.27 0.301078 0.301066
2.28 0.300189 0.300177
2.29 0.299305 0.299293
2.3 0.298427 0.298414
2.31 0.297553 0.29754
2.32 0.296684 0.296671
2.33 0.29582 0.295807
2.34 0.294962 0.294948
2.35 0.294108 0.294094
2.36 0.293258 0.293245
2.37 0.292414 0.2924
2.38 0.291575 0.291561
2.39 0.29074 0.290726
2.4 0.28991 0.289895
2.41 0.289084 0.28907
2.42 0.288263 0.288249
2.43 0.287447 0.287433
2.44 0.286635 0.286621
2.45 0.285827 0.285813
2.46 0.285025 0.28501
2.47 0.284226 0.284212
2.48 0.283432 0.283418
2.49 0.282642 0.282628
2.5 0.281857 0.281843
2.51 0.281075 0.281062
2.52 0.280298 0.280285
2.53 0.279526 0.279512
2.54 0.278757 0.278744
2.55 0.277993 0.27798
2.56 0.277232 0.277219
2.57 0.276476 0.276463
2.58 0.275724 0.275711
2.59 0.274976 0.274963
2.6 0.274232 0.274219
2.61 0.273491 0.273479
2.62 0.272755 0.272743
2.63 0.272022 0.272011
2.64 0.271294 0.271283
2.65 0.270569 0.270558
2.66 0.269848 0.269837
2.67 0.269131 0.26912
2.68 0.268417 0.268407
2.69 0.267708 0.267698
2.7 0.267002 0.266992
2.71 0.266299 0.26629
2.72 0.265601 0.265591
2.73 0.264905 0.264896
2.74 0.264214 0.264205
2.75 0.263526 0.263517
2.76 0.262841 0.262833
2.77 0.26216 0.262152
2.78 0.261483 0.261475
2.79 0.260808 0.260801
2.8 0.260138 0.260131
2.81 0.25947 0.259464
2.82 0.258806 0.2588
