0.14 0.0170394 1.26892 1.26892
0.141 0.0172664 1.26442 1.26442
0.142 0.0174947 1.25993 1.25993
0.143 0.0177243 1.25545 1.25545
0.144 0.017955 1.25098 1.25098
0.145 0.0181871 1.24652 1.24652
0.146 0.0184204 1.24207 1.24207
0.147 0.0186549 1.23763 1.23763
0.148 0.0188907 1.23319 1.23319
0.149 0.0191277 1.22877 1.22877
0.15 0.0193659 1.22436 1.22436
0.151 0.0196054 1.21995 1.21995
0.152 0.0198461 1.21556 1.21556
0.153 0.020088 1.21117 1.21117
0.154 0.0203311 1.2068 1.2068
0.155 0.0205754 1.20243 1.20243
0.156 0.0208209 1.19807 1.19807
0.157 0.0210676 1.19372 1.19372
0.158 0.0213155 1.18938 1.18938
0.159 0.0215646 1.18505 1.18505
0.16 0.0218149 1.18073 1.18073
0.161 0.0220663 1.17642 1.17642
0.162 0.022319 1.17212 1.17212
0.163 0.0225728 1.16782 1.16782
0.164 0.0228278 1.16354 1.16354
0.165 0.0230839 1.15926 1.15926
0.166 0.0233412 1.15499 1.155
0.167 0.0235997 1.15074 1.15074
0.168 0.0238593 1.14649 1.14649
0.169 0.02412 1.14225 1.14225
0.17 0.0243819 1.13802 1.13802
0.171 0.0246449 1.1338 1.1338
0.172 0.0249091 1.12959 1.12959
0.173 0.0251744 1.12538 1.12538
0.174 0.0254408 1.12119 1.12119
0.175 0.0257084 1.117 1.117
0.176 0.025977 1.11283 1.11283
0.177 0.0262468 1.10866 1.10866
0.178 0.0265177 1.1045 1.1045
0.179 0.0267897 1.10035 1.10035
0.18 0.0270628 1.09621 1.09621
0.181 0.0273369 1.09208 1.09208
0.182 0.0276122 1.08795 1.08795
0.183 0.0278886 1.08384 1.08384
0.184 0.028166 1.07973 1.07973
0.185 0.0284445 1.07564 1.07564
0.186 0.0287241 1.07155 1.07155
0.187 0.0290048 1.06747 1.06747
0.188 0.0292866 1.0634 1.0634
0.189 0.0295694 1.05934 1.05934
0.19 0.0298532 1.05528 1.05528
0.191 0.0301381 1.05124 1.05124
0.192 0.0304241 1.0472 1.0472
0.193 0.0307111 1.04317 1.04318
0.194 0.0309992 1.03916 1.03916
0.195 0.0312883 1.03515 1.03515
0.196 0.0315784 1.03115 1.03115
0.197 0.0318696 1.02715 1.02715
0.198 0.0321618 1.02317 1.02317
0.199 0.032455 1.01919 1.01919
0.2 0.0327492 1.01523 1.01523
0.201 0.0330445 1.01127 1.01127
0.202 0.0333407 1.00732 1.00732
0.203 0.033638 1.00338 1.00338
0.204 0.0339363 0.999444 0.999444
0.205 0.0342356 0.995519 0.99552
0.206 0.0345358 0.991604 0.991604
0.207 0.0348371 0.987696 0.987697
0.208 0.0351393 0.983797 0.983798
0.209 0.0354426 0.979907 0.979907
0.21 0.0357468 0.976024 0.976025
0.211 0.036052 0.972151 0.972151
0.212 0.0363581 0.968285 0.968286
0.213 0.0366652 0.964428 0.964429
0.214 0.0369733 0.96058 0.960581
0.215 0.0372824 0.95674 0.95674
0.216 0.0375924 0.952908 0.952908
0.217 0.0379033 0.949084 0.949085
0.218 0.0382153 0.945269 0.945269
0.219 0.0385281 0.941462 0.941462
0.22 0.0388419 0.937663 0.937664
